,g0,g1,g2,g5,h0
2016-06-18 14:00:00,1.2583191462399035,1.3595239095507263,2.9114115692526124,2.4672095209530918,64.39904856870189
2016-06-18 15:00:00,0.9492920239369267,1.262307677168551,3.0112213444123714,2.545481865305867,60.78535975093912
2016-06-18 16:00:00,0.8242502961495091,1.2352474887735128,3.1996287834253963,2.531131935507858,59.35135625182692
2016-06-18 17:00:00,0.8047091892450708,1.1660936739861922,3.491143677394207,2.2907706113912116,61.031188922215506
2016-06-18 18:00:00,0.8397336868661407,1.1956594353807715,3.5762238161317104,2.002793611126627,68.20940072348574
2016-06-18 19:00:00,0.8508390153801385,1.182129341183252,3.425409926793397,1.917672436642985,73.90854034424312
2016-06-18 20:00:00,0.9033757618117435,1.1214944745943698,3.322742162477081,1.8537500220882186,70.83157855043379
2016-06-18 21:00:00,0.9114911941873571,1.2051806127790257,2.95867831299567,1.642740827103863,63.022405209554165
2016-06-18 22:00:00,0.8373844827574104,1.176617080584263,2.033789052869887,1.5416390489815286,60.87959426659506
2016-06-18 23:00:00,0.7693643456091739,1.135525683391797,1.318412382451704,1.592842207578969,51.07510748552218
2016-06-19 00:00:00,0.7084986027920707,1.079901962801996,1.0075511003461997,1.53772543176389,36.71458673012709
2016-06-19 01:00:00,0.6073760441117254,1.0358038780100816,0.7351627491943469,1.408902198349948,27.30752377595102
2016-06-19 02:00:00,0.5466170832995644,1.0438217116086115,0.5654421623588098,1.3727012390867896,22.321288751895146
2016-06-19 03:00:00,0.5134078797625133,1.0433205970087034,0.5252104688472772,1.4212953195391371,20.735690597162503
2016-06-19 04:00:00,0.49728379701622805,1.0373072218098058,0.49948856643826445,1.4649973784694368,20.477569967322307
2016-06-19 05:00:00,0.492798952808652,1.0984432029985962,0.7109797640234803,1.5501185529530797,19.981814471914944
2016-06-19 06:00:00,0.5016618592188617,1.1545680381883057,1.041187434265678,1.7386244489360123,21.030685602694156
2016-06-19 07:00:00,0.567332792258368,1.0187659816132053,0.8466243263000688,1.840052361826483,28.46292088094999
2016-06-19 08:00:00,0.5743804045845589,0.9300686974294684,0.8400289667080143,1.81852746712947,46.0806781557571
2016-06-19 09:00:00,0.6259561129716833,1.0112492626145837,1.5677169750313662,1.8446182485803948,65.65277734221141
2016-06-19 10:00:00,0.709032512816782,1.0433205970087034,2.2406634987406653,2.163251917049816,76.44877511409902
2016-06-19 11:00:00,0.7718203317228465,1.092930942399607,2.484252113007213,2.5210217576956246,84.29482283067009
2016-06-19 12:00:00,0.8256384622137589,1.2091895295782906,2.543390504015969,2.585270307018527,85.81076938687443
2016-06-19 13:00:00,0.8447524410984282,1.1771181951841712,2.5631765827921322,2.3057728107254936,71.85176961123075
2016-06-19 14:00:00,0.7797222000885756,1.1295123081928997,2.3934559959565953,2.0765000687254904,59.02768117631302
2016-06-19 15:00:00,0.684792997694883,1.1415390585906944,2.3974132117118283,2.156403086918948,50.9562900527386
2016-06-19 16:00:00,0.6420801957179685,1.1280089643931754,2.583842042847236,2.1665132647311816,44.404942638223126
2016-06-19 17:00:00,0.7208853153653759,1.2051806127790257,2.912071105211818,2.125420283945975,44.900698133630485
2016-06-19 18:00:00,0.80513631726484,1.1706037053853655,3.1378522485798186,1.9261519406145353,51.89044090358884
2016-06-19 19:00:00,0.8412286349353327,1.1966616645805876,3.1985295568267205,1.706663241658629,62.28491769572503
2016-06-19 20:00:00,0.8871448970605159,1.1726081637849979,3.0793733935302683,1.6606782393513742,65.31271365527908
2016-06-19 21:00:00,0.8729428904031917,1.1951583207808634,2.666723728387389,1.5582719221564936,61.67853907324331
2016-06-19 22:00:00,0.7937106427360153,1.1791226535838035,1.850877746850241,1.5230493671977445,57.44208302158038
2016-06-19 23:00:00,0.7021984645004757,1.135024568791889,1.164300813317363,1.566099156591771,44.27793089973032
2016-06-20 00:00:00,0.7216327893999718,1.101449890598045,1.0987869080362875,1.8954952724096987,30.175530774175428
2016-06-20 01:00:00,0.6174135525763004,1.0312938466109085,0.6791021926618832,1.4992415291237757,22.468786254660973
2016-06-20 02:00:00,0.5727786745104246,1.0483317430077845,0.5786328815429189,1.65252487014796,20.39562691023018
2016-06-20 03:00:00,0.5779042107476544,1.0302916174110923,0.5825900972981517,4.416190895337187,19.199258276685143
2016-06-20 04:00:00,0.694083032124862,1.1219955891942779,0.5856679317744438,6.515520397832236,19.98591162476955
2016-06-20 05:00:00,0.7612489132335603,1.1039554635975857,0.7351627491943469,6.758490800093974,24.27972781639696
2016-06-20 06:00:00,0.8032142411758787,2.752622497295296,1.1625420507594815,6.886661763971643,40.11112644659572
2016-06-20 07:00:00,1.0905646164755716,8.138602217107756,1.3289649577989913,6.861223252056992,53.144169677098375
2016-06-20 08:00:00,1.7468468188508641,14.77586509289079,1.6066295966244877,6.8608971172888555,58.03207303264369
2016-06-20 09:00:00,2.1180210680302523,16.954210258691383,2.359599816717382,6.644017496478042,59.027681176313024
2016-06-20 10:00:00,2.16650009827405,16.800869191119496,2.906794817538174,6.040015905889129,57.04875634753817
2016-06-20 11:00:00,2.228220097130692,16.420022095189328,3.076735249693446,5.452647188475181,58.16318192399109
2016-06-20 12:00:00,2.097412141076391,14.363447777166407,2.9158084756473155,4.578932144637331,64.6653635042513
2016-06-20 13:00:00,1.8306706927305592,11.721571606450805,2.648696412169106,3.796860970645855,62.559426936983655
2016-06-20 14:00:00,1.7621166455576112,12.503310382307472,2.7014592889055424,3.963515837163638,53.98818316514727
